bizonylat;datum;tipus;vrg_id;daniella_cikkszam;megnevezes_a_bizonylaton;mennyiseg;egyseg_kiszereles;netto_egysegar_huf;brutto_ertek_huf;hivatkozas;forras_fajl
13635/26VRD1;2026.08.25;visszaigazolas;VRG-0128;SCHEZ9EUC112;Kiselosztó falonkívüli 1/12 átlátszó ajtóval IP40 PE/N sínnel Easy9 EU EZ9EUC112;1,00 db;1 db;4456;5659;;Rendelés visszaigazolás (Hefler Tamás) (10).eml
13635/26VRD1;2026.08.25;visszaigazolas;VRG-0130;SCHEZ9EUC312;Kiselosztó falonkívüli 3/36 átlátszó ajtóval IP40 PE/N sínnel Easy9 EU EZ9EUC312;1,00 db;1 db;10997,6;13967;;Rendelés visszaigazolás (Hefler Tamás) (10).eml
13635/26VRD1;2026.08.25;visszaigazolas;VRG-0134;SCHEZ9F57110;1C 10A 6kA Schneider EASY9 PRO EZ9F57110 kismegszakító;2,00 db;12 db;1063,2;2701;;Rendelés visszaigazolás (Hefler Tamás) (10).eml
13635/26VRD1;2026.08.25;visszaigazolas;VRG-0135;SCHEZ9F57113;1C 13A 6kA Schneider EASY9 PRO EZ9F57113 kismegszakító;3,00 db;12 db;980,8;3737;;Rendelés visszaigazolás (Hefler Tamás) (10).eml
13635/26VRD1;2026.08.25;visszaigazolas;VRG-0136;SCHEZ9F57116;1C 16A 6kA Schneider EASY9 PRO EZ9F57116 kismegszakító;3,00 db;12 db;920;3505;;Rendelés visszaigazolás (Hefler Tamás) (10).eml
13635/26VRD1;2026.08.25;visszaigazolas;VRG-0143;SCHEZ9F57320;3C 20A 6kA Schneider EASY9 PRO EZ9F57320 kismegszakító;1,00 db;4 db;3617,6;4594;;Rendelés visszaigazolás (Hefler Tamás) (10).eml
13635/26VRD1;2026.08.25;visszaigazolas;VRG-0147;SCHEZ9R49240;FI relé 40/2-0,03 EASY9 PRO, A osztály!!! EZ9R49240 Schneider;1,00 db;6 db;10704;13594;;Rendelés visszaigazolás (Hefler Tamás) (10).eml
13635/26VRD1;2026.08.25;visszaigazolas;VRG-0154;SCHR9XFH112;Fésűs sín 1P villás, 12 modul, 63A, RESI9 R9XFH112 Schneider;2,00 db;10 db;1272;3231;;Rendelés visszaigazolás (Hefler Tamás) (10).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0025;GEWDX15025R;Gégecső lépésálló 25/75 fekete (SGN) 750N FK15 DX15025R Gewiss;75,00 fm;75 fm;183,68;17496;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0149;SCHEZ9R49440;FI relé 40/4-0,03 EASY9 PRO, A osztály!!! EZ9R49440 Schneider;1,00 db;3 db;14000;17780;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
