vrg_id;legacy_id;datum;bizonylat;vendor;netto_egysegar_huf;szamitott_brutto_huf;forras_tipus
VRG-0094;NVT10009;2026.09.07;14408/26VRD1;daniella;131,14;167;pdf
VRG-0094;NVT10009;2026.09.08;14408/26VRD1;daniella;131,14;167;modositas
VRG-0095;NYUGMFL20;2026.07.27;11893/26VRD1;daniella;85,12;108;visszaigazolas
VRG-0095;NYUGMFL20;2026.09.10;09293/26VRB;daniella;85,12;108;modositas
VRG-0095;NYUGMFL20;2026.09.10;09293/26VRB;daniella;85,12;108;modositas
VRG-0095;NYUGMFL20;2026.09.10;09293/26VRB;daniella;85,12;108;modositas
VRG-0095;NYUGMFL20;2026.09.17;15229/26VRD1;daniella;85,12;108;modositas
VRG-0095;NYUGMFL20;2026.09.17;15229/26VRD1;daniella;85,12;108;visszaigazolas
VRG-0096;NYUGMFL25;2026.07.27;11893/26VRD1;daniella;98,8;125;visszaigazolas
VRG-0097;OBO2000342;2026.06.12;147898/26VR;daniella;268,45;341;visszaigazolas
VRG-0097;OBO2000342;2026.06.12;58530/26VA;daniella;268,45;341;pdf
VRG-0098;OBO2000378;2026.09.07;14408/26VRD1;daniella;496,91;631;pdf
VRG-0098;OBO2000378;2026.09.08;14408/26VRD1;daniella;496,91;631;modositas
VRG-0099;OBO2003700;2026.09.07;14408/26VRD1;daniella;53,72;68;pdf
VRG-0099;OBO2003700;2026.09.08;14408/26VRD1;daniella;53,72;68;modositas
VRG-0100;OBO2003702;2026.09.07;14408/26VRD1;daniella;83,74;106;pdf
VRG-0100;OBO2003702;2026.09.08;14408/26VRD1;daniella;83,74;106;modositas
VRG-0101;OBO2005312;2026.09.04;08564/26VRB;daniella;20778,58;26389;modositas
VRG-0103;OBO2149010;2026.08.05;203724/26VR;daniella;31,6;40;visszaigazolas
VRG-0103;OBO2149010;2026.09.07;14408/26VRD1;daniella;31,6;40;pdf
VRG-0103;OBO2149010;2026.09.08;14408/26VRD1;daniella;31,6;40;modositas
VRG-0103;OBO2149010;2026.09.10;09293/26VRB;daniella;31,6;40;modositas
VRG-0103;OBO2149010;2026.09.10;09293/26VRB;daniella;31,6;40;modositas
VRG-0103;OBO2149010;2026.09.10;09293/26VRB;daniella;31,6;40;modositas
VRG-0103;OBO2149010;2026.09.10;09293/26VRB;daniella;31,6;40;modositas
VRG-0103;OBO2149010;2026.09.10;09293/26VRB;daniella;31,6;40;modositas
VRG-0103;OBO2149010;2026.09.10;09293/26VRB;daniella;31,6;40;modositas
VRG-0103;OBO2149010;2026.09.10;09293/26VRB;daniella;31,6;40;visszaigazolas
VRG-0103;OBO2149010;2026.09.10;09293/26VRB;daniella;31,6;40;visszaigazolas
VRG-0104;OBO2149016;2026.06.12;147898/26VR;daniella;39;50;visszaigazolas
VRG-0104;OBO2149016;2026.06.12;58530/26VA;daniella;39;50;pdf
VRG-0104;OBO2149016;2026.08.05;203724/26VR;daniella;52,14;66;visszaigazolas
VRG-0105;OBO2149022;2026.09.14;14910/26VRD1;daniella;81,37;103;visszaigazolas
VRG-0106;OBO2250136;2026.06.12;147898/26VR;daniella;65,57;83;visszaigazolas
VRG-0106;OBO2250136;2026.06.12;58530/26VA;daniella;65,57;83;pdf
VRG-0107;OBO2250209;2026.08.24;13509/26VRD1;daniella;94,8;120;visszaigazolas
VRG-0107;OBO2250209;2026.08.24;13509/26VRD1;daniella;94,8;120;visszaigazolas
VRG-0108;OBO5000750XXX1;2026.07.06;06956/26VRB;daniella;8080,91;10263;visszaigazolas
VRG-0108;OBO5000750XXX1;2026.09.07;14406/26VRD1;daniella;8080,91;10263;visszaigazolas
VRG-0108;OBO5000750XXX1;2026.09.08;14406/26VRD1;daniella;8080,91;10263;modositas
VRG-0109;OBO5001641;2026.09.07;14406/26VRD1;daniella;2813,19;3573;visszaigazolas
VRG-0109;OBO5001641;2026.09.08;14406/26VRD1;daniella;2813,19;3573;modositas
VRG-0110;POL2080136;2026.08.25;13635/26VRD1;daniella;927,11;1177;visszaigazolas
VRG-0110;POL2080136;2026.08.25;13635/26VRD1;daniella;927,11;1177;visszaigazolas
VRG-0111;POL2080137;2026.08.25;13635/26VRD1;daniella;927,11;1177;visszaigazolas
VRG-0111;POL2080137;2026.08.25;13635/26VRD1;daniella;927,11;1177;visszaigazolas
VRG-0112;POL2080138;2026.07.13;11028/26VRD1;daniella;927,11;1177;visszaigazolas
